iter	Passed	Remaining
0	1	1407
1	2	1164
2	3	1031
3	4	1054
4	5	1068
5	6	1081
6	7	1088
7	8	1092
8	9	1071
9	10	1078
10	12	1081
11	13	1090
12	14	1100
13	15	1106
14	16	1112
15	18	1116
16	19	1120
17	20	1100
18	21	1102
19	22	1105
20	23	1107
21	24	1109
22	26	1113
23	27	1114
24	28	1117
25	29	1119
26	30	1106
27	31	1107
28	33	1108
29	33	1096
30	35	1097
31	36	1099
32	37	1100
33	38	1103
34	40	1103
35	41	1107
36	43	1121
37	45	1147
38	46	1154
39	48	1154
40	48	1144
41	50	1143
42	51	1143
43	52	1143
44	53	1142
45	55	1141
46	56	1153
47	58	1169
48	60	1173
49	62	1181
50	63	1183
51	64	1181
52	66	1180
53	67	1179
54	68	1176
55	69	1175
56	71	1176
57	71	1167
58	73	1166
59	74	1164
60	75	1156
61	76	1155
62	77	1153
63	78	1152
64	80	1151
65	81	1149
66	82	1148
67	83	1146
68	84	1136
69	85	1136
70	86	1134
71	87	1132
72	88	1128
73	90	1127
74	91	1126
75	92	1126
76	93	1124
77	95	1123
78	96	1122
79	97	1121
80	98	1120
81	99	1119
82	101	1118
83	102	1116
84	103	1110
85	105	1120
86	106	1120
87	107	1119
88	109	1119
89	110	1117
90	111	1115
91	112	1113
92	113	1111
93	115	1109
94	115	1103
95	116	1101
96	118	1099
97	118	1092
98	119	1090
99	121	1089
100	121	1084
101	122	1082
102	124	1080
103	125	1078
104	126	1076
105	127	1075
106	128	1074
107	129	1072
108	131	1072
109	131	1066
110	132	1064
111	134	1062
112	135	1061
113	136	1057
114	136	1051
115	137	1049
116	138	1048
117	140	1046
118	141	1045
119	142	1043
120	143	1042
121	144	1036
122	145	1035
123	146	1034
124	147	1033
125	148	1031
126	149	1030
127	150	1027
128	151	1026
129	153	1024
130	154	1023
131	155	1023
132	156	1020
133	157	1018
134	158	1017
135	159	1016
136	161	1015
137	162	1012
138	163	1014
139	165	1018
140	166	1017
141	168	1015
142	169	1014
143	170	1012
144	171	1011
145	172	1010
146	173	1009
147	175	1008
148	176	1006
149	177	1005
150	178	1003
151	179	999
152	180	998
153	181	996
154	182	995
155	183	993
156	184	992
157	185	989
158	186	988
159	188	987
160	189	986
161	190	986
162	191	984
163	192	983
164	194	982
165	195	980
166	196	979
167	197	978
168	198	977
169	199	975
170	202	979
171	203	978
172	204	976
173	205	975
174	206	973
175	207	971
176	208	970
177	209	968
178	210	966
179	211	965
180	213	964
181	214	962
182	215	961
183	216	960
184	217	959
185	218	958
186	220	960
187	222	962
188	225	966
189	226	965
190	227	964
191	228	963
192	230	962
193	231	961
194	232	960
195	233	957
196	234	955
197	235	955
198	237	954
199	238	953
200	240	954
201	241	952
202	242	951
203	243	950
204	244	948
205	245	947
206	246	946
207	248	944
208	249	943
209	250	941
210	251	940
211	252	939
212	254	940
213	256	942
214	258	943
215	259	943
216	261	944
217	263	943
218	264	942
219	265	941
220	266	940
221	268	939
222	269	938
223	270	936
224	271	935
225	272	933
226	274	934
227	275	931
228	276	929
229	277	928
230	278	927
231	279	926
232	280	924
233	282	923
234	283	923
235	286	927
236	288	928
237	289	927
238	290	925
239	292	924
240	292	922
241	294	920
242	295	919
243	296	918
244	297	916
245	298	915
246	300	916
247	301	914
248	302	913
249	303	911
250	304	909
251	306	908
252	307	907
253	308	905
254	309	904
255	310	902
256	311	901
257	313	900
258	314	899
259	315	897
260	316	896
261	317	895
262	319	894
263	320	892
264	321	891
265	321	888
266	323	887
267	324	885
268	325	884
269	326	883
270	327	881
271	329	880
272	330	879
273	331	878
274	332	877
275	333	875
276	335	874
277	336	873
278	336	870
279	338	869
280	339	867
281	340	866
282	341	865
283	342	864
284	343	862
285	345	861
286	346	860
287	348	861
288	351	865
289	352	864
290	353	862
291	355	860
292	356	859
293	357	858
294	358	856
295	359	855
296	360	854
297	361	852
298	362	850
299	364	849
300	365	848
301	366	847
302	367	845
303	368	844
304	370	843
305	371	841
306	372	840
307	373	839
308	374	837
309	375	836
310	377	835
311	378	834
312	379	832
313	380	831
314	381	830
315	383	829
316	384	827
317	385	826
318	386	824
319	387	823
320	388	822
321	389	820
322	391	819
323	392	818
324	393	817
325	394	816
326	395	814
327	397	813
328	398	812
329	398	810
330	400	808
331	400	806
332	401	805
333	403	803
334	404	802
335	405	801
336	406	800
337	409	802
338	412	803
339	413	802
340	414	801
341	415	799
342	416	798
343	417	797
344	419	795
345	420	794
346	421	793
347	424	795
348	425	794
349	427	793
350	428	792
351	429	791
352	431	790
353	432	789
354	434	788
355	436	789
356	438	789
357	440	789
358	441	788
359	442	786
360	443	785
361	445	784
362	446	782
363	447	781
364	448	780
365	449	778
366	450	777
367	451	776
368	453	774
369	453	772
370	454	771
371	455	769
372	457	768
373	458	767
374	459	766
375	460	764
376	462	763
377	463	762
378	464	760
379	465	759
380	466	758
381	468	757
382	469	756
383	470	754
384	471	753
385	472	751
386	473	750
387	475	750
388	477	750
389	479	749
390	481	749
391	482	747
392	482	745
393	484	744
394	485	743
395	486	741
396	487	740
397	488	739
398	489	737
399	491	736
400	492	735
401	493	734
402	494	732
403	495	731
404	496	730
405	498	728
406	499	727
407	500	725
408	501	724
409	502	723
410	503	721
411	504	720
412	505	719
413	507	717
414	508	716
415	509	715
416	510	713
417	511	712
418	513	711
419	514	710
420	515	709
421	516	707
422	517	706
423	519	705
424	520	703
425	521	702
426	524	703
427	526	704
428	528	702
429	529	701
430	530	700
431	531	699
432	532	697
433	534	696
434	535	695
435	536	693
436	537	692
437	539	692
438	540	690
439	541	689
440	543	688
441	544	687
442	545	685
443	546	684
444	547	683
445	549	681
446	549	680
447	550	678
448	552	677
449	553	676
450	555	675
451	556	674
452	557	673
453	558	672
454	559	670
455	560	669
456	562	667
457	563	666
458	564	665
459	565	664
460	566	662
461	568	661
462	569	660
463	570	659
464	571	658
465	573	656
466	574	655
467	575	654
468	576	653
469	578	651
470	579	650
471	580	649
472	581	647
473	582	646
474	584	645
475	585	644
476	586	643
477	587	642
478	589	640
479	590	639
480	591	638
481	592	636
482	593	635
483	595	634
484	596	633
485	598	632
486	600	633
487	602	632
488	604	631
489	605	629
490	606	628
491	607	627
492	609	626
493	610	625
494	611	623
495	612	622
496	613	621
497	615	620
498	616	618
499	617	617
500	618	616
501	620	615
502	621	613
503	622	612
504	623	611
505	625	610
506	626	608
507	627	607
508	628	606
509	629	605
510	630	603
511	631	602
512	633	601
513	634	600
514	635	598
515	637	597
516	638	596
517	639	595
518	641	594
519	642	592
520	643	591
521	644	590
522	645	588
523	646	587
524	648	586
525	649	585
526	651	584
527	652	583
528	653	581
529	654	580
530	655	579
531	656	577
532	657	576
533	659	575
534	660	573
535	661	572
536	662	571
537	663	570
538	665	568
539	666	567
540	668	566
541	669	565
542	670	564
543	671	562
544	672	561
545	674	560
546	675	559
547	677	558
548	678	557
549	679	556
550	680	554
551	682	554
552	683	552
553	684	550
554	685	549
555	686	548
556	688	547
557	689	546
558	690	544
559	691	543
560	693	542
561	694	541
562	695	539
563	696	538
564	698	537
565	699	536
566	700	534
567	701	533
568	702	532
569	703	531
570	705	529
571	706	528
572	707	526
573	708	525
574	709	524
575	710	523
576	711	521
577	712	520
578	713	518
579	714	517
580	715	516
581	716	514
582	717	513
583	719	512
584	720	511
585	721	509
586	722	508
587	723	507
588	725	505
589	725	504
590	726	503
591	728	501
592	729	500
593	730	499
594	732	498
595	733	497
596	734	495
597	735	494
598	736	493
599	737	491
600	738	490
601	739	489
602	741	487
603	742	486
604	743	485
605	744	484
606	746	483
607	748	482
608	750	481
609	752	480
610	753	479
611	754	478
612	755	476
613	756	475
614	757	474
615	759	473
616	760	471
617	761	470
618	762	469
619	763	468
620	764	466
621	765	465
622	766	464
623	768	462
624	769	461
625	770	460
626	772	459
627	773	458
628	774	456
629	775	455
630	777	454
631	778	453
632	780	452
633	781	450
634	782	449
635	783	448
636	785	447
637	786	446
638	787	444
639	788	443
640	789	442
641	791	441
642	792	439
643	793	438
644	795	437
645	796	436
646	797	435
647	798	433
648	799	432
649	801	431
650	802	430
651	803	428
652	804	427
653	806	426
654	807	425
655	811	425
656	812	424
657	813	422
658	814	421
659	816	420
660	817	419
661	818	417
662	819	416
663	820	415
664	821	414
665	822	412
666	823	411
667	824	409
668	826	408
669	827	407
670	828	406
671	830	405
672	831	403
673	832	402
674	833	401
675	834	400
676	835	398
677	837	397
678	838	396
679	839	395
680	840	393
681	842	392
682	843	391
683	844	390
684	846	389
685	847	387
686	848	386
687	849	385
688	850	384
689	852	382
690	853	381
691	854	380
692	855	379
693	856	377
694	858	376
695	859	375
696	860	374
697	861	372
698	862	371
699	864	370
700	865	369
701	866	367
702	867	366
703	869	365
704	872	364
705	874	364
706	875	362
707	876	361
708	877	360
709	879	359
710	880	357
711	881	356
712	882	355
713	883	354
714	885	352
715	886	351
716	887	350
717	888	348
718	889	347
719	890	346
720	892	345
721	894	344
722	895	342
723	896	341
724	897	340
725	898	339
726	900	338
727	901	336
728	902	335
729	903	334
730	905	333
731	906	331
732	907	330
733	908	329
734	910	328
735	911	326
736	912	325
737	913	324
738	914	323
739	916	321
740	917	320
741	918	319
742	919	318
743	920	316
744	921	315
745	923	314
746	924	313
747	925	311
748	926	310
749	927	309
750	929	308
751	930	306
752	931	305
753	932	304
754	933	302
755	934	301
756	935	300
757	937	299
758	939	298
759	941	297
760	943	296
761	943	294
762	945	293
763	946	292
764	947	291
765	948	289
766	949	288
767	950	287
768	952	286
769	954	285
770	955	283
771	956	282
772	957	281
773	959	280
774	960	278
775	961	277
776	962	276
777	963	274
778	964	273
779	965	272
780	967	271
781	968	270
782	970	268
783	971	267
784	973	266
785	974	265
786	975	264
787	977	262
788	978	261
789	979	260
790	980	259
791	981	257
792	982	256
793	983	255
794	985	254
795	986	252
796	987	251
797	988	250
798	989	249
799	991	247
800	992	246
801	993	245
802	994	244
803	995	242
804	997	241
805	998	240
806	1002	239
807	1003	238
808	1004	237
809	1005	235
810	1006	234
811	1008	233
812	1009	232
813	1010	230
814	1011	229
815	1012	228
816	1013	227
817	1014	225
818	1016	224
819	1017	223
820	1018	222
821	1020	220
822	1021	219
823	1022	218
824	1023	217
825	1025	215
826	1026	214
827	1027	213
828	1028	212
829	1029	210
830	1030	209
831	1032	208
832	1033	207
833	1034	205
834	1035	204
835	1036	203
836	1038	202
837	1039	200
838	1040	199
839	1041	198
840	1042	197
841	1043	195
842	1044	194
843	1046	193
844	1047	192
845	1048	190
846	1050	189
847	1051	188
848	1052	187
849	1053	185
850	1054	184
851	1055	183
852	1057	182
853	1058	180
854	1059	179
855	1060	178
856	1061	177
857	1062	175
858	1064	174
859	1066	173
860	1068	172
861	1069	171
862	1070	169
863	1071	168
864	1072	167
865	1073	166
866	1075	164
867	1076	163
868	1077	162
869	1078	161
870	1080	159
871	1081	158
872	1082	157
873	1083	156
874	1084	154
875	1085	153
876	1087	152
877	1088	151
878	1089	149
879	1090	148
880	1091	147
881	1093	146
882	1094	145
883	1095	143
884	1096	142
885	1097	141
886	1099	140
887	1100	138
888	1101	137
889	1102	136
890	1103	135
891	1104	133
892	1105	132
893	1107	131
894	1108	130
895	1109	128
896	1110	127
897	1111	126
898	1113	125
899	1114	123
900	1115	122
901	1116	121
902	1117	120
903	1119	118
904	1120	117
905	1122	116
906	1123	115
907	1126	114
908	1128	113
909	1130	111
910	1131	110
911	1132	109
912	1133	108
913	1134	106
914	1135	105
915	1137	104
916	1138	103
917	1139	101
918	1140	100
919	1141	99
920	1143	98
921	1145	96
922	1146	95
923	1147	94
924	1148	93
925	1149	91
926	1150	90
927	1152	89
928	1153	88
929	1154	86
930	1155	85
931	1157	84
932	1158	83
933	1160	81
934	1161	80
935	1162	79
936	1163	78
937	1164	76
938	1166	75
939	1167	74
940	1168	73
941	1169	72
942	1170	70
943	1172	69
944	1173	68
945	1174	67
946	1176	65
947	1178	64
948	1179	63
949	1180	62
950	1181	60
951	1182	59
952	1184	58
953	1185	57
954	1186	55
955	1188	54
956	1190	53
957	1192	52
958	1194	51
959	1195	49
960	1196	48
961	1197	47
962	1198	46
963	1199	44
964	1201	43
965	1202	42
966	1203	41
967	1204	39
968	1205	38
969	1207	37
970	1208	36
971	1209	34
972	1211	33
973	1212	32
974	1214	31
975	1216	29
976	1217	28
977	1219	27
978	1221	26
979	1222	24
980	1223	23
981	1224	22
982	1226	21
983	1227	19
984	1228	18
985	1229	17
986	1230	16
987	1231	14
988	1233	13
989	1233	12
990	1235	11
991	1236	9
992	1237	8
993	1238	7
994	1239	6
995	1241	4
996	1242	3
997	1243	2
998	1244	1
999	1245	0
